Twitter,State,Party,Type,Name,twitter_display_name
RepBarbaraLee,CA,Democrat,Representative,Barbara Lee,Rep. Barbara Lee
RepSpeier,CA,Democrat,Representative,Jackie Speier,Jackie Speier
RepSwalwell,CA,Democrat,Representative,Eric Swalwell,Rep. Eric Swalwell
RepJimCosta,CA,Democrat,Representative,Jim Costa,Rep. Jim Costa
RoKhannaUSA,CA,Democrat,Representative,Ro Khanna,Ro Khanna
RepAnnaEshoo,CA,Democrat,Representative,Anna G. Eshoo,Rep. Anna G. Eshoo
RepZoeLofgren,CA,Democrat,Representative,Zoe Lofgren,Rep. Zoe Lofgren
JimmyPanetta,CA,Democrat,Representative,Jimmy Panetta,Jimmy Panetta
RepTJCox,CA,Democrat,Representative,TJ Cox,Congressman TJ Cox
DevinNunes,CA,Republican,Representative,Devin Nunes,Devin Nunes
GOPLeader,CA,Republican,Representative,Kevin McCarthy,Kevin McCarthy
CarbajalSalud,CA,Democrat,Representative,Salud Carbajal,Salud Carbajal
MikeGarcia2020,CA,Republican,Representative,Mike Garcia,Mike Garcia
RepBrownley,CA,Democrat,Representative,Julia Brownley,Congresswoman Julia Brownley
RepJudyChu,CA,Democrat,Representative,Judy Chu,Judy Chu
RepAdamSchiff,CA,Democrat,Representative,Adam Schiff,Adam Schiff
RepCardenas,CA,Democrat,Representative,Tony Cárdenas,Rep. Tony Cárdenas
BradSherman,CA,Democrat,Representative,Brad Sherman,Rep. Brad Sherman
RepPeteAguilar,CA,Democrat,Representative,Pete Aguilar,Rep. Pete Aguilar
gracenapolitano,CA,Democrat,Representative,Grace Napolitano,Rep.Grace Napolitano
RepTedLieu,CA,Democrat,Representative,Ted Lieu,Rep. Ted Lieu 😷
RepJimmyGomez,CA,Democrat,Representative,Jimmy Gomez,Rep. Jimmy Gomez
NormaJTorres,CA,Democrat,Representative,Norma Torres,Rep. Norma Torres
RepRaulRuizMD,CA,Democrat,Representative,Raul Ruiz,Raul Ruiz
RepKarenBass,CA,Democrat,Representative,Karen Bass,Congressmember Bass
RepLindaSanchez,CA,Democrat,Representative,Linda Sánchez,Rep. Linda Sánchez
RepGilCisneros,CA,Democrat,Representative,Gilbert Ray Jr. Cisneros,Rep. Gil Cisneros
RepRoybalAllard,CA,Democrat,Representative,Lucille Roybal-Allard,Rep. Lucille Roybal-Allard
